zip,file,title,type,file_count,fullCaseName_count
9073.zip,content/9073/00040346-aab3-4ca6-a75b-50b00f732e24,Cases/NJ Supreme Court Cases from 1821 [PCSI-9073],states,9544,740071
9074.zip,content/9074/000a46d8-6850-487a-8f34-e992c6d68d8b,US Cases/NJ Superior Court Cases from 1948 [PCSI-9074],states,6594,288599
9082.zip,content/9082/0008f000-7d9e-4f1f-9f0d-e40e76777202,Cases/NM Court of Appeals Cases from 1966 [PCSI-9082],states,3807,69820
9084.zip,content/9084/0003c349-8d17-4664-b8f3-34fd2051338a,Cases/NM Supreme Court Cases from 1852 [PCSI-9084],states,2631,215281
9096.zip,content/9096/000516bc-c087-46e3-ac8a-a77b9fc0d6b8,US Cases/NY Court of Appeals Cases from 1794 [PCSI-9096],states,14111,2826531
9108.zip,content/9108/0014ef9b-d181-499b-9bc5-f8239c389c4c,Cases/NC Court of Appeals Cases from 1968 [PCSI-9108],states,9426,701737
9113.zip,content/9113/000812fe-889c-4719-be4e-1b35bb63f424,Cases/NC Supreme Court Cases from 1778 [PCSI-9113],states,7143,943243
9119.zip,content/9119/0182af20-9324-4b9e-b8f2-9769ef802cb4,US Cases/ND Appeals Court Cases from 1987 [PCSI-9119],states,27,867
9249.zip,content/9249/000386bb-91ee-4600-8dbc-4a4ff80db8b0,Cases/OH Supreme Court Cases from 1821 [PCSI-9249],states,15457,1062880
9250.zip,content/9250/00042524-f2c8-46be-8dc6-cb874e2d6e0f,US Cases/OH Courts of Appeals Cases from 1913 [PCSI-9250],states,37294,1284241
9270.zip,content/9270/0017454f-00c8-4a4e-bec8-46fd2cf61094,Cases/OK Court of Criminal Appeals from 1908 [PCSI-9270],states,1609,170459
9271.zip,content/9271/001ee73c-f804-4def-b0f9-cc630419f6a1,US Cases/OK Court of Appeals Cases from 1968 [PCSI-9271],states,2300,71239
9282.zip,content/9282/0003c9ec-ed0f-4bec-a268-cfc94d3de496,US Cases/OR Courts of Appeals Cases from 1969 [PCSI-9282],states,9652,767024
9284.zip,content/9284/000144d7-661d-4088-9de7-d080bcd4888f,Cases/OR Supreme Court Cases from 1847 [PCSI-9284],states,4622,487064
9285.zip,content/9285/000ea5a4-40c3-4981-8a94-ebd4b3cdb85b,Cases/OR Tax Court Cases from 1962 [PCSI-9285],states,4362,75061
9295.zip,content/9295/0007b844-f7a9-461e-bcd1-258191e398fa,Cases/PA Commonwealth Court Cases from 1971 [PCSI-9295],states,8391,347947
9296.zip,content/9296/000063d1-c30d-4140-8a61-67bb2e978af7,Cases/PA Supreme Court Cases from 1754 [PCSI-9296],states,20623,984661
9570.zip,content/9570/00074a40-c07f-4a60-b229-728121d3416f,Cases/SC Court of Appeals Cases from 1983 [PCSI-9570],states,3252,56415
9571.zip,content/9571/00093696-026c-4ff8-a640-56b855463932,US Cases/SC Supreme Court Cases from 1867 [PCSI-9571],states,5376,255956
